Date,Gross_Equity,Net_Equity
2007-04-11,1.0,1.0
2007-04-12,1.0,1.0
2007-04-13,1.0,1.0
2007-04-16,1.0,1.0
2007-04-17,1.0,1.0
2007-04-18,1.0,1.0
2007-04-19,1.0,1.0
2007-04-20,1.0,1.0
2007-04-23,1.0,1.0
2007-04-24,1.0,1.0
2007-04-25,1.0,1.0
2007-04-26,1.0,1.0
2007-04-27,1.0,1.0
2007-04-30,1.0,1.0
2007-05-01,1.0,1.0
2007-05-02,1.0,1.0
2007-05-03,1.0,1.0
2007-05-04,1.0,1.0
2007-05-07,1.0,1.0
2007-05-08,1.0,1.0
2007-05-09,1.0,1.0
2007-05-10,1.0,1.0
2007-05-11,1.0,1.0
2007-05-14,1.0,1.0
2007-05-15,1.0,1.0
2007-05-16,1.0,1.0
2007-05-17,1.0,1.0
2007-05-18,1.0,1.0
2007-05-21,1.0,1.0
2007-05-22,1.0,1.0
2007-05-23,1.0,1.0
2007-05-24,1.0,1.0
2007-05-25,1.0,1.0
2007-05-29,1.0,1.0
2007-05-30,1.0,1.0
2007-05-31,1.0,1.0
2007-06-01,1.0,1.0
2007-06-04,1.0,1.0
2007-06-05,1.0,1.0
2007-06-06,1.0,1.0
2007-06-07,1.0,1.0
2007-06-08,1.0,1.0
2007-06-11,1.0,1.0
2007-06-12,1.0,1.0
2007-06-13,1.0,1.0
2007-06-14,1.0,1.0
2007-06-15,1.0,1.0
2007-06-18,1.0,1.0
2007-06-19,1.0,1.0
2007-06-20,1.0,1.0
2007-06-21,1.0201858183682793,1.0196858183682793
2007-06-22,1.0110224663896517,1.010254990805437
2007-06-25,1.0093482985937121,1.008411914645547
2007-06-26,1.0041540276524819,1.003212567813597
2007-06-27,1.012350000975866,1.0110309104741286
2007-06-28,1.0128595643169997,1.0114258214371719
2007-06-29,1.0139433805314282,1.0124996812009863
2007-07-02,1.030077557931371,1.0282193207514918
2007-07-03,1.036043672204597,1.0341690603156237
2007-07-05,1.0360631666628066,1.0341813913323525
2007-07-06,1.0476533438721631,1.0457415261732177
2007-07-09,1.0529045554707988,1.050973901863304
2007-07-10,1.0414306348984823,1.0392726431668653
2007-07-11,1.0500692022004314,1.0476476982730363
2007-07-12,1.0662235276972798,1.0635357435614918
2007-07-13,1.0708637572564232,1.0681543517640242
2007-07-16,1.0661506133997551,1.0634410953830336
2007-07-17,1.064346179951055,1.0616283754465068
2007-07-18,1.0714944704635443,1.068076690666456
2007-07-19,1.0752427212217737,1.0717963913048347
2007-07-20,1.0764693446877398,1.0730091117934055
2007-07-23,1.0796588907390492,1.0761764966056693
2007-07-24,1.0745628654377157,1.0710364742667497
2007-07-25,1.0702972843450929,1.0667627591865783
2007-07-26,1.0637600918457761,1.059810246661446
2007-07-27,1.0638220403821996,1.0597209361390052
2007-07-30,1.067868312176255,1.0636185079466047
2007-07-31,1.0692504213664178,1.0649760100852654
2007-08-01,1.06728530739707,1.0628953700432549
2007-08-02,1.068934732873609,1.0644232309009816
2007-08-03,1.0762607097042438,1.0712262226887852
2007-08-06,1.0720675330602698,1.0665574504725477
2007-08-07,1.0758453008155728,1.0698295013566623
2007-08-08,1.0762826500076388,1.0702067392504997
2007-08-09,1.0769830554257709,1.070467526626523
2007-08-10,1.0762521416933062,1.0694703411690272
2007-08-13,1.0785677822063038,1.0712957971345738
2007-08-14,1.0831628640390927,1.0758472809237445
2007-08-15,1.083949720775112,1.0766181059903006
2007-08-16,1.0848688164859384,1.0772890362995238
2007-08-17,1.0832366574191439,1.0754544195897866
2007-08-20,1.0853758736405947,1.077430140035054
2007-08-21,1.0877343214944848,1.079731378893102
2007-08-22,1.086683027820319,1.078638432160224
2007-08-23,1.086572835038796,1.07847971722484
2007-08-24,1.0853821034629267,1.0771510322688245
2007-08-27,1.0864951593164345,1.0782275193791422
2007-08-28,1.0881649554599224,1.0798379746410889
2007-08-29,1.0875587040323391,1.0791798516279105
2007-08-30,1.0913284298217918,1.082894425121703
2007-08-31,1.094180694384458,1.0856403007545934
2007-09-04,1.0973804582061903,1.0887958507168851
2007-09-05,1.0969350717942812,1.0882661641332707
2007-09-06,1.0988755353038628,1.0896865522423411
2007-09-07,1.102686852436386,1.0933136902368785
2007-09-10,1.1072882988165462,1.0978685814757976
2007-09-11,1.1127429582589288,1.1029736742442355
2007-09-12,1.111123902584902,1.1013536620211692
2007-09-13,1.1106593115078014,1.1006496444552691
2007-09-14,1.1143924094858921,1.1043399802788525
