Date,Equity
1993-01-29,1.0
1993-02-01,1.0
1993-02-02,1.0
1993-02-03,1.0
1993-02-04,1.0
1993-02-05,1.0
1993-02-08,1.0
1993-02-09,1.0
1993-02-10,1.0
1993-02-11,1.0
1993-02-12,1.0
1993-02-16,1.0
1993-02-17,1.0
1993-02-18,1.0
1993-02-19,1.0
1993-02-22,1.0
1993-02-23,1.0
1993-02-24,1.0
1993-02-25,1.0
1993-02-26,1.0
1993-03-01,1.0
1993-03-02,1.0
1993-03-03,1.0
1993-03-04,1.0
1993-03-05,1.0
1993-03-08,1.0
1993-03-09,1.0
1993-03-10,1.0
1993-03-11,1.0
1993-03-12,1.0
1993-03-15,1.0
1993-03-16,1.0
1993-03-17,1.0
1993-03-18,1.0
1993-03-19,1.0
1993-03-22,1.0
1993-03-23,1.0
1993-03-24,1.0
1993-03-25,1.0
1993-03-26,1.0
1993-03-29,1.0
1993-03-30,1.0
1993-03-31,1.0
1993-04-01,1.0
1993-04-02,1.0
1993-04-05,1.0
1993-04-06,1.0
1993-04-07,1.0
1993-04-08,1.0
1993-04-12,1.0
1993-04-13,1.0
1993-04-14,1.0
1993-04-15,1.0
1993-04-16,1.0
1993-04-19,1.0
1993-04-20,1.0
1993-04-21,1.0
1993-04-22,1.0
1993-04-23,1.0
1993-04-26,1.0
1993-04-27,1.0
1993-04-28,1.0
1993-04-29,1.0
1993-04-30,1.0
1993-05-03,1.0
1993-05-04,1.0
1993-05-05,1.0
1993-05-06,1.0
1993-05-07,1.0
1993-05-10,1.0
1993-05-11,1.0
1993-05-12,1.0
1993-05-13,1.0
1993-05-14,1.0
1993-05-17,1.0
1993-05-18,1.0
1993-05-19,1.0
1993-05-20,1.0
1993-05-21,1.0
1993-05-24,1.0
1993-05-25,1.0
1993-05-26,1.0
1993-05-27,1.0
1993-05-28,1.0
1993-06-01,1.0
1993-06-02,1.0
1993-06-03,1.0
1993-06-04,1.0
1993-06-07,1.0
1993-06-08,1.0
1993-06-09,1.0
1993-06-10,1.0
1993-06-11,1.0
1993-06-14,1.0
1993-06-15,1.0
1993-06-16,1.0
1993-06-17,1.0
1993-06-18,1.0
1993-06-21,1.0
1993-06-22,1.0
1993-06-23,1.0
1993-06-24,1.0
1993-06-25,1.0
1993-06-28,1.0
1993-06-29,1.0
1993-06-30,1.0
1993-07-01,1.0
1993-07-02,1.0
1993-07-06,1.0
1993-07-07,1.0
1993-07-08,1.0
1993-07-09,1.0
1993-07-12,1.0
1993-07-13,1.0
1993-07-14,1.0
1993-07-15,1.0
1993-07-16,1.0
1993-07-19,1.0
1993-07-20,1.0
1993-07-21,1.0
1993-07-22,1.0
1993-07-23,1.0
1993-07-26,1.0
1993-07-27,1.0
1993-07-28,1.0
1993-07-29,1.0
1993-07-30,1.0
1993-08-02,1.0
1993-08-03,1.0
1993-08-04,1.0
1993-08-05,1.0
1993-08-06,1.0
1993-08-09,1.0
1993-08-10,1.0
1993-08-11,1.0
1993-08-12,1.0
1993-08-13,1.0
1993-08-16,1.0
1993-08-17,1.0
1993-08-18,1.0
1993-08-19,1.0
1993-08-20,1.0
1993-08-23,1.0
1993-08-24,1.0
1993-08-25,1.0
1993-08-26,1.0
1993-08-27,1.0
1993-08-30,1.0
1993-08-31,1.0
1993-09-01,1.0
1993-09-02,1.0
1993-09-03,1.0
1993-09-07,1.0
1993-09-08,1.0
1993-09-09,1.0
1993-09-10,1.0
1993-09-13,1.0
1993-09-14,1.0
1993-09-15,1.0
1993-09-16,1.0
1993-09-17,1.0
1993-09-20,1.0
1993-09-21,1.0
1993-09-22,1.0
1993-09-23,1.0
1993-09-24,1.0
1993-09-27,1.0
1993-09-28,1.0
1993-09-29,1.0
1993-09-30,1.0
1993-10-01,1.0
1993-10-04,1.0
1993-10-05,1.0
1993-10-06,1.0
1993-10-07,1.0
1993-10-08,1.0
1993-10-11,1.0
1993-10-12,1.0
1993-10-13,1.0
1993-10-14,1.0
1993-10-15,1.0
1993-10-18,1.0
1993-10-19,1.0
1993-10-20,1.0
1993-10-21,1.0
1993-10-22,1.0
1993-10-25,1.0
1993-10-26,1.0
1993-10-27,1.0
1993-10-28,1.0
1993-10-29,1.0
1993-11-01,1.0
1993-11-02,1.0
1993-11-03,1.0
1993-11-04,1.0
1993-11-05,1.0
1993-11-08,1.0
1993-11-09,1.0
1993-11-10,1.0
1993-11-11,1.0
1993-11-12,1.000589558236065
1993-11-15,1.000505671106195
1993-11-16,1.0010932717007124
1993-11-17,1.0004245464909611
1993-11-18,1.0000886028446871
1993-11-19,0.9998360788470905
1993-11-22,0.9990770361633149
1993-11-23,0.9997552421887556
1993-11-24,1.0002616332860779
1993-11-26,1.0003457551969077
1993-11-29,0.9998415226099467
1993-11-30,0.9999257731218852
1993-12-01,1.0000943957741635
1993-12-02,1.0004311331697262
1993-12-03,1.0009350060876803
1993-12-06,1.0013535186920441
1993-12-07,1.0012699801276874
1993-12-08,1.0012699801276874
1993-12-09,1.0008525265938744
1993-12-10,1.0006012954207526
1993-12-13,1.0013563617504921
1993-12-14,1.0004384284664825
1993-12-15,1.0002704634864568
1993-12-16,1.000690847136239
1993-12-17,1.001378375776053
1993-12-20,1.001546309718085
1993-12-21,1.0011267940926403
1993-12-22,1.0019684397988753
1993-12-23,1.0018846982356133
1993-12-27,1.0025543872003777
1993-12-28,1.0028043630578722
1993-12-29,1.0026380057825137
1993-12-30,1.0021383265384782
1993-12-31,1.001469781231999
1994-01-03,1.0011339893039286
1994-01-04,1.0016388762736077
1994-01-05,1.0018905185933298
1994-01-06,1.0018905185933298
1994-01-07,1.0026439298670429
1994-01-10,1.004142859007224
1994-01-11,1.0038956373195875
1994-01-12,1.0034829105627212
1994-01-13,1.0031517111270942
1994-01-14,1.003649679105171
1994-01-17,1.003649679105171
1994-01-18,1.0038149443946651
1994-01-19,1.003484632989483
1994-01-20,1.0038157072396356
1994-01-21,1.0035679600548815
1994-01-24,1.0030715181843797
1994-01-25,1.0030715181843797
1994-01-26,1.0034036059943163
1994-01-27,1.0045634335170757
1994-01-28,1.0048921064299585
1994-01-31,1.0057940368400153
1994-02-01,1.0051422130057701
1994-02-02,1.0059607304959606
1994-02-03,1.0053909999312325
1994-02-04,1.002531046595587
1994-02-07,1.0031147645214722
1994-02-08,1.0031977810445107
1994-02-09,1.003695771891854
1994-02-10,1.0026205470944838
1994-02-11,1.0030372070442615
1994-02-14,1.0032034004255048
1994-02-15,1.0038672418799068
