Date,Gross_Equity,Net_Equity
2007-04-11,1.0,1.0
2007-04-12,1.0,1.0
2007-04-13,1.0,1.0
2007-04-16,1.0,1.0
2007-04-17,1.0,1.0
2007-04-18,1.0,1.0
2007-04-19,1.0,1.0
2007-04-20,1.0,1.0
2007-04-23,1.0,1.0
2007-04-24,1.0,1.0
2007-04-25,1.0,1.0
2007-04-26,1.0,1.0
2007-04-27,1.0,1.0
2007-04-30,1.0,1.0
2007-05-01,1.0,1.0
2007-05-02,1.0,1.0
2007-05-03,1.0,1.0
2007-05-04,1.0,1.0
2007-05-07,1.0,1.0
2007-05-08,1.0,1.0
2007-05-09,1.0,1.0
2007-05-10,1.0,1.0
2007-05-11,1.0,1.0
2007-05-14,1.0,1.0
2007-05-15,1.0,1.0
2007-05-16,1.0,1.0
2007-05-17,1.0,1.0
2007-05-18,1.0,1.0
2007-05-21,1.0,1.0
2007-05-22,1.0,1.0
2007-05-23,1.0,1.0
2007-05-24,1.0,1.0
2007-05-25,1.0,1.0
2007-05-29,1.0,1.0
2007-05-30,1.0,1.0
2007-05-31,1.0,1.0
2007-06-01,1.0,1.0
2007-06-04,1.0,1.0
2007-06-05,1.0,1.0
2007-06-06,1.0,1.0
2007-06-07,1.0,1.0
2007-06-08,1.0,1.0
2007-06-11,1.0,1.0
2007-06-12,1.0,1.0
2007-06-13,1.0,1.0
2007-06-14,1.0,1.0
2007-06-15,1.0,1.0
2007-06-18,1.0,1.0
2007-06-19,1.0,1.0
2007-06-20,1.0,1.0
2007-06-21,1.0159138096932607,1.0154138096932606
2007-06-22,1.009487282934591,1.0087716664795896
2007-06-25,1.008824800188302,1.0077540889569776
2007-06-26,1.0006259386279628,0.9995545701286802
2007-06-27,1.0107718161214692,1.0091833429997938
2007-06-28,1.0132803534906203,1.011423502154654
2007-06-29,1.0168464760146734,1.0149806815542177
2007-07-02,1.0301299585634545,1.0279216977528802
2007-07-03,1.034391257870783,1.032166324011571
2007-07-05,1.03570764195441,1.0334771579325235
2007-07-06,1.045041393242047,1.042785221451911
2007-07-09,1.0466960509867316,1.0444343451245734
2007-07-10,1.0416154737871053,1.0390294929344448
2007-07-11,1.0480952039411215,1.045169476130766
2007-07-12,1.0607915458072916,1.057580829341377
2007-07-13,1.0660856871698152,1.0628508260456164
2007-07-16,1.0639809056626002,1.060744767990985
2007-07-17,1.062310395626463,1.0590698073167375
2007-07-18,1.0671039812706036,1.0632979015661608
2007-07-19,1.0706558722757897,1.0668287131834726
2007-07-20,1.071052669854955,1.0672141524959338
2007-07-23,1.0725421323262174,1.0686800374839192
2007-07-24,1.0670643631660317,1.0631102619550576
2007-07-25,1.0691236218311198,1.0651429327936552
2007-07-26,1.063064618083238,1.0589162373266316
2007-07-27,1.0651062886442244,1.060868813645056
2007-07-30,1.0671221446156067,1.0628060688205896
2007-07-31,1.0705041408139353,1.0661643246364667
2007-08-01,1.067769073493961,1.0633725755014354
2007-08-02,1.0685106061189136,1.0640441909908724
2007-08-03,1.0732725211493035,1.0684524780758073
2007-08-06,1.0667372003943842,1.0616114017433733
2007-08-07,1.0678855371947804,1.062416981121725
2007-08-08,1.0680033989896136,1.0624910115509487
2007-08-09,1.0679270507240257,1.0621956588238777
2007-08-10,1.0680891431101507,1.0620212859277267
2007-08-13,1.0702340630958793,1.063722363810464
2007-08-14,1.0747531969996122,1.068206237021798
2007-08-15,1.0755947051045807,1.069032511266791
2007-08-16,1.0764978521964659,1.0695366244610545
2007-08-17,1.0768099063703294,1.0697774807773086
2007-08-20,1.0788443207108653,1.071545486432026
2007-08-21,1.0823090913388584,1.0749769543795602
2007-08-22,1.082107023095596,1.074727167972396
2007-08-23,1.0830138488196088,1.0755854479631426
2007-08-24,1.083800769127017,1.0761797013225218
2007-08-27,1.0854401859614486,1.077797317632499
2007-08-28,1.0888617319895373,1.0811112677321562
2007-08-29,1.0889424494610094,1.0810671828722527
2007-08-30,1.0918557493430754,1.0839532712249687
2007-08-31,1.0958185513814935,1.0878303544265813
2007-09-04,1.099092183208969,1.0910329130529368
2007-09-05,1.101667931777445,1.0935129852667977
2007-09-06,1.1032768030198257,1.0949389913913492
2007-09-07,1.1090455223335018,1.1005948819041615
2007-09-10,1.114088977139468,1.1055752973828996
2007-09-11,1.1160356491598753,1.1074156145266971
2007-09-12,1.1155386462327126,1.106913376328498
2007-09-13,1.1137221947170293,1.1050107550247439
2007-09-14,1.1158850103158866,1.1071506067060743
