Date,Gross_Equity,Net_Equity
2007-04-11,1.0,1.0
2007-04-12,1.0,1.0
2007-04-13,1.0,1.0
2007-04-16,1.0,1.0
2007-04-17,1.0,1.0
2007-04-18,1.0,1.0
2007-04-19,1.0,1.0
2007-04-20,1.0,1.0
2007-04-23,1.0,1.0
2007-04-24,1.0,1.0
2007-04-25,1.0,1.0
2007-04-26,1.0,1.0
2007-04-27,1.0,1.0
2007-04-30,1.0,1.0
2007-05-01,1.0,1.0
2007-05-02,1.0,1.0
2007-05-03,1.0,1.0
2007-05-04,1.0,1.0
2007-05-07,1.0,1.0
2007-05-08,1.0,1.0
2007-05-09,1.0,1.0
2007-05-10,1.0,1.0
2007-05-11,1.0,1.0
2007-05-14,1.0,1.0
2007-05-15,1.0,1.0
2007-05-16,1.0,1.0
2007-05-17,1.0,1.0
2007-05-18,1.0,1.0
2007-05-21,1.0,1.0
2007-05-22,1.0,1.0
2007-05-23,1.0,1.0
2007-05-24,1.0,1.0
2007-05-25,1.0,1.0
2007-05-29,1.0,1.0
2007-05-30,1.0,1.0
2007-05-31,1.0,1.0
2007-06-01,1.0,1.0
2007-06-04,1.0,1.0
2007-06-05,1.0,1.0
2007-06-06,1.0,1.0
2007-06-07,1.0,1.0
2007-06-08,1.0,1.0
2007-06-11,1.0,1.0
2007-06-12,1.0,1.0
2007-06-13,1.0,1.0
2007-06-14,1.0,1.0
2007-06-15,1.0,1.0
2007-06-18,1.0,1.0
2007-06-19,1.0,1.0
2007-06-20,1.0,1.0
2007-06-21,1.0,1.0
2007-06-22,1.0,1.0
2007-06-25,1.0,1.0
2007-06-26,1.0,1.0
2007-06-27,1.0,1.0
2007-06-28,1.0,1.0
2007-06-29,1.0,1.0
2007-07-02,1.0,1.0
2007-07-03,1.0,1.0
2007-07-05,1.0,1.0
2007-07-06,1.0,1.0
2007-07-09,1.0,1.0
2007-07-10,1.0,1.0
2007-07-11,1.0,1.0
2007-07-12,1.0,1.0
2007-07-13,1.0,1.0
2007-07-16,1.0,1.0
2007-07-17,1.0,1.0
2007-07-18,1.0,1.0
2007-07-19,1.0,1.0
2007-07-20,1.0,1.0
2007-07-23,1.0,1.0
2007-07-24,1.0,1.0
2007-07-25,1.0,1.0
2007-07-26,1.0,1.0
2007-07-27,1.0,1.0
2007-07-30,1.0,1.0
2007-07-31,1.0,1.0
2007-08-01,1.0,1.0
2007-08-02,1.0,1.0
2007-08-03,1.0,1.0
2007-08-06,1.0,1.0
2007-08-07,1.0,1.0
2007-08-08,1.0,1.0
2007-08-09,1.0,1.0
2007-08-10,1.0,1.0
2007-08-13,1.0,1.0
2007-08-14,1.0,1.0
2007-08-15,1.0,1.0
2007-08-16,1.0,1.0
2007-08-17,1.0006224055560426,1.0001224055560427
2007-08-20,1.0026705843844217,1.0018872689491376
2007-08-21,1.0060657844088556,1.005274197608723
2007-08-22,1.006326798792331,1.0054812964143511
2007-08-23,1.007309790395496,1.006409740848062
2007-08-24,1.0084676760393878,1.0073356614354743
2007-08-27,1.01025564257495,1.0091204778684228
2007-08-28,1.0134106321025305,1.0121900193703761
2007-08-29,1.0139510670651635,1.0126002605777276
2007-08-30,1.016392198623705,1.015036954458729
2007-08-31,1.0211135210073143,1.0196800101579107
2007-09-04,1.024855123651969,1.023355794267111
2007-09-05,1.0272743092775978,1.0256750517378523
2007-09-06,1.0289905016794016,1.027287964707113
2007-09-07,1.0333962042142004,1.0316064777456957
2007-09-10,1.0379927801849917,1.0361884057154647
2007-09-11,1.040005474001108,1.0381071699195887
2007-09-12,1.0395922488744567,1.0376916195970138
2007-09-13,1.0383664294789992,1.0363596221591191
2007-09-14,1.0404974966814273,1.0384843266411006
2007-09-17,1.0440779087399388,1.041989020085622
2007-09-18,1.054182474934702,1.0519540202451818
2007-09-19,1.0557051254405907,1.0534680852840266
2007-09-20,1.0506065556038053,1.048372448487949
2007-09-21,1.0541713974829248,1.0519155667083866
2007-09-24,1.0570506506659105,1.054786957860069
2007-09-25,1.0552080308975837,1.0529460392428136
2007-09-26,1.0567353241189303,1.0544686706070572
2007-09-27,1.0625846273703916,1.0603036865901057
2007-09-28,1.063431513199479,1.0611473999799237
2007-10-01,1.0654428441449624,1.0631532250922884
2007-10-02,1.064426671317282,1.0621365030366727
2007-10-03,1.0620115296188513,1.0597220811116423
2007-10-04,1.06771269492781,1.0654092663720987
2007-10-05,1.067454034264093,1.06514712482601
2007-10-08,1.0658957679866163,1.0635815377717641
