Date,Gross_Equity,Net_Equity
2007-04-11,1.0,1.0
2007-04-12,1.0,1.0
2007-04-13,1.0,1.0
2007-04-16,1.0,1.0
2007-04-17,1.0,1.0
2007-04-18,1.0,1.0
2007-04-19,1.0,1.0
2007-04-20,1.0,1.0
2007-04-23,1.0,1.0
2007-04-24,1.0,1.0
2007-04-25,1.0,1.0
2007-04-26,1.0,1.0
2007-04-27,1.0,1.0
2007-04-30,1.0,1.0
2007-05-01,1.0,1.0
2007-05-02,1.0,1.0
2007-05-03,1.0,1.0
2007-05-04,1.0,1.0
2007-05-07,1.0,1.0
2007-05-08,1.0,1.0
2007-05-09,1.0,1.0
2007-05-10,1.0,1.0
2007-05-11,1.0,1.0
2007-05-14,1.0,1.0
2007-05-15,1.0,1.0
2007-05-16,1.0,1.0
2007-05-17,1.0,1.0
2007-05-18,1.0,1.0
2007-05-21,1.0,1.0
2007-05-22,1.0,1.0
2007-05-23,1.0,1.0
2007-05-24,1.0,1.0
2007-05-25,1.0,1.0
2007-05-29,1.0,1.0
2007-05-30,1.0,1.0
2007-05-31,1.0,1.0
2007-06-01,1.0,1.0
2007-06-04,1.0,1.0
2007-06-05,1.0,1.0
2007-06-06,1.0,1.0
2007-06-07,1.0,1.0
2007-06-08,1.0,1.0
2007-06-11,1.0,1.0
2007-06-12,1.0,1.0
2007-06-13,1.0,1.0
2007-06-14,1.0,1.0
2007-06-15,1.0,1.0
2007-06-18,1.0,1.0
2007-06-19,1.0,1.0
2007-06-20,1.0,1.0
2007-06-21,1.0,1.0
2007-06-22,1.0,1.0
2007-06-25,1.0,1.0
2007-06-26,1.0,1.0
2007-06-27,1.0,1.0
2007-06-28,1.0,1.0
2007-06-29,1.0,1.0
2007-07-02,1.0,1.0
2007-07-03,1.0,1.0
2007-07-05,1.0,1.0
2007-07-06,1.0,1.0
2007-07-09,1.0,1.0
2007-07-10,1.0,1.0
2007-07-11,1.0,1.0
2007-07-12,1.0,1.0
2007-07-13,1.0,1.0
2007-07-16,1.0,1.0
2007-07-17,1.0,1.0
2007-07-18,1.0,1.0
2007-07-19,1.0,1.0
2007-07-20,1.0,1.0
2007-07-23,1.0,1.0
2007-07-24,1.0,1.0
2007-07-25,1.0,1.0
2007-07-26,1.0,1.0
2007-07-27,1.0,1.0
2007-07-30,1.0,1.0
2007-07-31,1.0,1.0
2007-08-01,1.0,1.0
2007-08-02,1.0,1.0
2007-08-03,1.0,1.0
2007-08-06,1.0,1.0
2007-08-07,1.0,1.0
2007-08-08,1.0,1.0
2007-08-09,1.0,1.0
2007-08-10,1.0,1.0
2007-08-13,1.0,1.0
2007-08-14,1.0,1.0
2007-08-15,1.0,1.0
2007-08-16,1.0,1.0
2007-08-17,1.0006227267743848,1.0001227267743849
2007-08-20,1.0026718289860426,1.0018885091680085
2007-08-21,1.0060659617693193,1.0052743700180806
2007-08-22,1.0063273128472079,1.0054818041382345
2007-08-23,1.0073097347713644,1.00640967823395
2007-08-24,1.008468094996738,1.0073360656342945
2007-08-27,1.0102554931353678,1.00912031556471
2007-08-28,1.0134111741917229,1.0121905467392085
2007-08-29,1.013951564637258,1.0126007418326683
2007-08-30,1.0163927346874242,1.0150374740782389
2007-08-31,1.0211141994051465,1.0196806710881603
2007-09-04,1.0248556396693667,1.0233562917421013
2007-09-05,1.0272747075632176,1.0256754300023194
2007-09-06,1.0289912909121122,1.027288732403207
2007-09-07,1.033396658828286,1.0316069102564425
2007-09-10,1.0379930761847038,1.0361886794710884
2007-09-11,1.040005852781387,1.03810752532061
2007-09-12,1.0395930784004173,1.0376924247887196
2007-09-13,1.0383676406429425,1.0363608067501107
2007-09-14,1.0404986215438516,1.0384854255877847
2007-09-17,1.0440789373423236,1.0419900217508988
2007-09-18,1.0541835282251373,1.051955044995394
2007-09-19,1.0557062892959626,1.0534692199136255
2007-09-20,1.050607641900144,1.0483735060349508
2007-09-21,1.0541721544554283,1.051916295126079
2007-09-24,1.0570516960362812,1.0547879745276454
2007-09-25,1.0552094422086529,1.0529474203402358
2007-09-26,1.0567364315992775,1.054469748872897
2007-09-27,1.062585885752352,1.0603049152302124
2007-09-28,1.0634325224759187,1.061148379941648
2007-10-01,1.0654440045880431,1.0631543555967313
2007-10-02,1.064427602482338,1.0621374051189456
2007-10-03,1.062012809905522,1.0597233315663286
2007-10-04,1.0677135091856313,1.0654100512120444
2007-10-05,1.0674552188225808,1.065148279372966
2007-10-08,1.06589682341266,1.0635825670304087
