Date,Faber,Momentum,Faber_Momentum_5050,Faber_InvVol,Faber_LowVol
2004-11-18,1.0,1.0,1.0,1.0,1.0
2004-11-19,1.0,1.0,1.0,1.0,1.0
2004-11-22,1.0,1.0,1.0,1.0,1.0
2004-11-23,1.0,1.0,1.0,1.0,1.0
2004-11-24,1.0,1.0,1.0,1.0,1.0
2004-11-26,1.0,1.0,1.0,1.0,1.0
2004-11-29,1.0,1.0,1.0,1.0,1.0
2004-11-30,1.0,1.0,1.0,1.0,1.0
2004-12-01,1.0,1.0,1.0,1.0,1.0
2004-12-02,1.0,1.0,1.0,1.0,1.0
2004-12-03,1.0,1.0,1.0,1.0,1.0
2004-12-06,1.0,1.0,1.0,1.0,1.0
2004-12-07,1.0,1.0,1.0,1.0,1.0
2004-12-08,1.0,1.0,1.0,1.0,1.0
2004-12-09,1.0,1.0,1.0,1.0,1.0
2004-12-10,1.0,1.0,1.0,1.0,1.0
2004-12-13,1.0,1.0,1.0,1.0,1.0
2004-12-14,1.0,1.0,1.0,1.0,1.0
2004-12-15,1.0,1.0,1.0,1.0,1.0
2004-12-16,1.0,1.0,1.0,1.0,1.0
2004-12-17,1.0,1.0,1.0,1.0,1.0
2004-12-20,1.0,1.0,1.0,1.0,1.0
2004-12-21,1.0,1.0,1.0,1.0,1.0
2004-12-22,1.0,1.0,1.0,1.0,1.0
2004-12-23,1.0,1.0,1.0,1.0,1.0
2004-12-27,1.0,1.0,1.0,1.0,1.0
2004-12-28,1.0,1.0,1.0,1.0,1.0
2004-12-29,1.0,1.0,1.0,1.0,1.0
2004-12-30,1.0,1.0,1.0,1.0,1.0
2004-12-31,1.0,1.0,1.0,1.0,1.0
2005-01-03,1.0,1.0,1.0,1.0,1.0
2005-01-04,1.0,1.0,1.0,1.0,1.0
2005-01-05,1.0,1.0,1.0,1.0,1.0
2005-01-06,1.0,1.0,1.0,1.0,1.0
2005-01-07,1.0,1.0,1.0,1.0,1.0
2005-01-10,1.0,1.0,1.0,1.0,1.0
2005-01-11,1.0,1.0,1.0,1.0,1.0
2005-01-12,1.0,1.0,1.0,1.0,1.0
2005-01-13,1.0,1.0,1.0,1.0,1.0
2005-01-14,1.0,1.0,1.0,1.0,1.0
2005-01-18,1.0,1.0,1.0,1.0,1.0
2005-01-19,1.0,1.0,1.0,1.0,1.0
2005-01-20,1.0,1.0,1.0,1.0,1.0
2005-01-21,1.0,1.0,1.0,1.0,1.0
2005-01-24,1.0,1.0,1.0,1.0,1.0
2005-01-25,1.0,1.0,1.0,1.0,1.0
2005-01-26,1.0,1.0,1.0,1.0,1.0
2005-01-27,1.0,1.0,1.0,1.0,1.0
2005-01-28,1.0,1.0,1.0,1.0,1.0
2005-01-31,1.0,1.0,1.0,1.0,1.0
2005-02-01,1.0,1.0,1.0,1.0,1.0
2005-02-02,1.0,1.0,1.0,1.0,1.0
2005-02-03,1.0,1.0,1.0,1.0,1.0
2005-02-04,1.0,1.0,1.0,1.0,1.0
2005-02-07,1.0,1.0,1.0,1.0,1.0
2005-02-08,1.0,1.0,1.0,1.0,1.0
2005-02-09,1.0,1.0,1.0,1.0,1.0
2005-02-10,1.0,1.0,1.0,1.0,1.0
2005-02-11,1.0,1.0,1.0,1.0,1.0
2005-02-14,1.0,1.0,1.0,1.0,1.0
2005-02-15,1.0,1.0,1.0,1.0,1.0
2005-02-16,1.0,1.0,1.0,1.0,1.0
2005-02-17,1.0,1.0,1.0,1.0,1.0
2005-02-18,1.0,1.0,1.0,1.0,1.0
2005-02-22,1.0,1.0,1.0,1.0,1.0
2005-02-23,1.0,1.0,1.0,1.0,1.0
2005-02-24,1.0,1.0,1.0,1.0,1.0
2005-02-25,1.0,1.0,1.0,1.0,1.0
2005-02-28,1.0,1.0,1.0,1.0,1.0
2005-03-01,1.0,1.0,1.0,1.0,1.0
2005-03-02,1.0,1.0,1.0,1.0,1.0
2005-03-03,1.0,1.0,1.0,1.0,1.0
2005-03-04,1.0,1.0,1.0,1.0,1.0
2005-03-07,1.0,1.0,1.0,1.0,1.0
2005-03-08,1.0,1.0,1.0,1.0,1.0
2005-03-09,1.0,1.0,1.0,1.0,1.0
2005-03-10,1.0,1.0,1.0,1.0,1.0
2005-03-11,1.0,1.0,1.0,1.0,1.0
2005-03-14,1.0,1.0,1.0,1.0,1.0
2005-03-15,1.0,1.0,1.0,1.0,1.0
2005-03-16,1.0,1.0,1.0,1.0,1.0
2005-03-17,1.0,1.0,1.0,1.0,1.0
2005-03-18,1.0,1.0,1.0,1.0,1.0
2005-03-21,1.0,1.0,1.0,1.0,1.0
2005-03-22,1.0,1.0,1.0,1.0,1.0
2005-03-23,1.0,1.0,1.0,1.0,1.0
2005-03-24,1.0,1.0,1.0,1.0,1.0
2005-03-28,1.0,1.0,1.0,1.0,1.0
2005-03-29,1.0,1.0,1.0,1.0,1.0
2005-03-30,1.0,1.0,1.0,1.0,1.0
2005-03-31,1.0,1.0,1.0,1.0,1.0
2005-04-01,1.0,1.0,1.0,1.0,1.0
2005-04-04,1.0,1.0,1.0,1.0,1.0
2005-04-05,1.0,1.0,1.0,1.0,1.0
2005-04-06,1.0,1.0,1.0,1.0,1.0
2005-04-07,1.0,1.0,1.0,1.0,1.0
2005-04-08,1.0,1.0,1.0,1.0,1.0
2005-04-11,1.0,1.0,1.0,1.0,1.0
2005-04-12,1.0,1.0,1.0,1.0,1.0
2005-04-13,1.0,1.0,1.0,1.0,1.0
2005-04-14,1.0,1.0,1.0,1.0,1.0
2005-04-15,1.0,1.0,1.0,1.0,1.0
2005-04-18,1.0,1.0,1.0,1.0,1.0
2005-04-19,1.0,1.0,1.0,1.0,1.0
2005-04-20,1.0,1.0,1.0,1.0,1.0
2005-04-21,1.0,1.0,1.0,1.0,1.0
2005-04-22,1.0,1.0,1.0,1.0,1.0
2005-04-25,1.0,1.0,1.0,1.0,1.0
2005-04-26,1.0,1.0,1.0,1.0,1.0
2005-04-27,1.0,1.0,1.0,1.0,1.0
2005-04-28,1.0,1.0,1.0,1.0,1.0
2005-04-29,1.0,1.0,1.0,1.0,1.0
2005-05-02,1.0,1.0,1.0,1.0,1.0
2005-05-03,1.0,1.0,1.0,1.0,1.0
2005-05-04,1.0,1.0,1.0,1.0,1.0
2005-05-05,1.0,1.0,1.0,1.0,1.0
2005-05-06,1.0,1.0,1.0,1.0,1.0
2005-05-09,1.0,1.0,1.0,1.0,1.0
2005-05-10,1.0,1.0,1.0,1.0,1.0
2005-05-11,1.0,1.0,1.0,1.0,1.0
2005-05-12,1.0,1.0,1.0,1.0,1.0
2005-05-13,1.0,1.0,1.0,1.0,1.0
2005-05-16,1.0,1.0,1.0,1.0,1.0
2005-05-17,1.0,1.0,1.0,1.0,1.0
2005-05-18,1.0,1.0,1.0,1.0,1.0
2005-05-19,1.0,1.0,1.0,1.0,1.0
2005-05-20,1.0,1.0,1.0,1.0,1.0
2005-05-23,1.0,1.0,1.0,1.0,1.0
2005-05-24,1.0,1.0,1.0,1.0,1.0
2005-05-25,1.0,1.0,1.0,1.0,1.0
2005-05-26,1.0,1.0,1.0,1.0,1.0
2005-05-27,1.0,1.0,1.0,1.0,1.0
2005-05-31,1.0,1.0,1.0,1.0,1.0
2005-06-01,1.0,1.0,1.0,1.0,1.0
2005-06-02,1.0,1.0,1.0,1.0,1.0
2005-06-03,1.0,1.0,1.0,1.0,1.0
2005-06-06,1.0,1.0,1.0,1.0,1.0
2005-06-07,1.0,1.0,1.0,1.0,1.0
2005-06-08,1.0,1.0,1.0,1.0,1.0
2005-06-09,1.0,1.0,1.0,1.0,1.0
2005-06-10,1.0,1.0,1.0,1.0,1.0
2005-06-13,1.0,1.0,1.0,1.0,1.0
2005-06-14,1.0,1.0,1.0,1.0,1.0
2005-06-15,1.0,1.0,1.0,1.0,1.0
2005-06-16,1.0,1.0,1.0,1.0,1.0
2005-06-17,1.0,1.0,1.0,1.0,1.0
2005-06-20,1.0,1.0,1.0,1.0,1.0
2005-06-21,1.0,1.0,1.0,1.0,1.0
2005-06-22,1.0,1.0,1.0,1.0,1.0
2005-06-23,1.0,1.0,1.0,1.0,1.0
2005-06-24,1.0,1.0,1.0,1.0,1.0
2005-06-27,1.0,1.0,1.0,1.0,1.0
2005-06-28,1.0,1.0,1.0,1.0,1.0
2005-06-29,1.0,1.0,1.0,1.0,1.0
2005-06-30,1.0,1.0,1.0,1.0,1.0
2005-07-01,1.0,1.0,1.0,1.0,1.0
2005-07-05,1.0,1.0,1.0,1.0,1.0
2005-07-06,1.0,1.0,1.0,1.0,1.0
2005-07-07,1.0,1.0,1.0,1.0,1.0
2005-07-08,1.0,1.0,1.0,1.0,1.0
2005-07-11,1.0,1.0,1.0,1.0,1.0
2005-07-12,1.0,1.0,1.0,1.0,1.0
2005-07-13,1.0,1.0,1.0,1.0,1.0
2005-07-14,1.0,1.0,1.0,1.0,1.0
2005-07-15,1.0,1.0,1.0,1.0,1.0
2005-07-18,1.0,1.0,1.0,1.0,1.0
2005-07-19,1.0,1.0,1.0,1.0,1.0
2005-07-20,1.0,1.0,1.0,1.0,1.0
2005-07-21,1.0,1.0,1.0,1.0,1.0
2005-07-22,1.0,1.0,1.0,1.0,1.0
2005-07-25,1.0,1.0,1.0,1.0,1.0
2005-07-26,1.0,1.0,1.0,1.0,1.0
2005-07-27,1.0,1.0,1.0,1.0,1.0
2005-07-28,1.0,1.0,1.0,1.0,1.0
2005-07-29,1.0,1.0,1.0,1.0,1.0
2005-08-01,1.0,1.0,1.0,1.0,1.0
2005-08-02,1.0,1.0,1.0,1.0,1.0
2005-08-03,1.0,1.0,1.0,1.0,1.0
2005-08-04,1.0,1.0,1.0,1.0,1.0
2005-08-05,1.0,1.0,1.0,1.0,1.0
2005-08-08,1.0,1.0,1.0,1.0,1.0
2005-08-09,1.0,1.0,1.0,1.0,1.0
2005-08-10,1.0,1.0,1.0,1.0,1.0
2005-08-11,1.0,1.0,1.0,1.0,1.0
2005-08-12,1.0,1.0,1.0,1.0,1.0
2005-08-15,1.0,1.0,1.0,1.0,1.0
2005-08-16,1.0,1.0,1.0,1.0,1.0
2005-08-17,1.0,1.0,1.0,1.0,1.0
2005-08-18,1.0,1.0,1.0,1.0,1.0
2005-08-19,1.0,1.0,1.0,1.0,1.0
2005-08-22,1.0,1.0,1.0,1.0,1.0
2005-08-23,1.0,1.0,1.0,1.0,1.0
2005-08-24,1.0,1.0,1.0,1.0,1.0
2005-08-25,1.0,1.0,1.0,1.0,1.0
2005-08-26,1.0,1.0,1.0,1.0,1.0
2005-08-29,1.0,1.0,1.0,1.0,1.0
2005-08-30,1.0,1.0,1.0,1.0,1.0
2005-08-31,1.0,1.0,1.0,1.0,1.0
2005-09-01,1.0,1.0,1.0,1.0,1.0
2005-09-02,1.0021520953463023,1.0,1.0021520953463023,1.0008152129507641,1.0
2005-09-06,1.0091704725572848,1.0,1.0091704725572848,1.004579774393676,1.0
2005-09-07,1.0091403846301965,1.0,1.0091403846301965,1.0040092189403877,1.0
2005-09-08,1.007812062320747,1.0,1.007812062320747,1.0031420158047253,1.0
2005-09-09,1.0162508859594621,1.0,1.0162508859594621,1.008174148031826,1.0
2005-09-12,1.013910368761917,1.0,1.013910368761917,1.0062444968733106,1.0
2005-09-13,1.0081340245565464,1.0,1.0081340245565464,1.0036209908352671,1.0
2005-09-14,1.008413549832436,1.0,1.008413549832436,1.0035069024907393,1.0
2005-09-15,1.011201360748963,1.0,1.011201360748963,1.0042881040665603,1.0
2005-09-16,1.0193487984668024,1.0,1.0193487984668024,1.0084403758786584,1.0
2005-09-19,1.01912465359542,1.0,1.01912465359542,1.0086443459984298,1.0
2005-09-20,1.0169709289554163,1.0,1.0169709289554163,1.0066760076219323,1.0
2005-09-21,1.0213187751602029,1.0,1.0213187751602029,1.0096885374871918,1.0
2005-09-22,1.0169377886909496,1.0,1.0169377886909496,1.007786303784284,1.0
2005-09-23,1.015367330934236,1.0,1.015367330934236,1.0062051802484913,1.0
2005-09-26,1.020390586417605,1.0,1.020390586417605,1.008238197986685,1.0
2005-09-27,1.0166657744143186,1.0,1.0166657744143186,1.0058792627373143,1.0
2005-09-28,1.02425617553337,1.0,1.02425617553337,1.011277486157313,1.0
2005-09-29,1.0328235987849637,1.0,1.0328235987849637,1.0155826593461506,1.0
2005-09-30,1.0299252399378904,1.0,1.0299252399378904,1.0138381095779088,1.0
2005-10-03,1.027857021941227,1.0,1.027857021941227,1.011014340872697,1.0
2005-10-04,1.022686595359018,1.0,1.022686595359018,1.0081297047387416,1.0
2005-10-05,1.0119415123605222,1.0,1.0119415123605222,1.0027822446363293,1.0
2005-10-06,1.0063578871916041,1.0,1.0063578871916041,1.0010780971524753,1.0
2005-10-07,1.0131820591687808,1.0,1.0131820591687808,1.0038057135881617,1.0
2005-10-10,1.0114732718012176,1.0,1.0114732718012176,1.0035528443731656,1.0
2005-10-11,1.0122370976138975,1.0,1.0122370976138975,1.0024256167649035,1.0
2005-10-12,0.9998000480943243,1.0,0.9998000480943243,0.9968535636109483,1.0
2005-10-13,0.9982255097625291,1.0,0.9982255097625291,0.9960161243913417,1.0
2005-10-14,0.998528405808487,1.0,0.998528405808487,0.9972368815115291,1.0
2005-10-17,1.001627528525998,1.0,1.001627528525998,0.9990270841413061,1.0
2005-10-18,0.9908986909924986,1.0,0.9908986909924986,0.9941124454142473,1.0
2005-10-19,0.9972432472696077,1.0,0.9972432472696077,0.9981253114457233,1.0
2005-10-20,0.9796275433526985,1.0,0.9796275433526985,0.990935121920579,1.0
2005-10-21,0.9906789039115408,1.0,0.9906789039115408,0.9966829553832258,1.0
2005-10-24,1.0012251892398227,1.0,1.0012251892398227,1.0007510470676626,1.0
2005-10-25,0.999680114578531,1.0,0.999680114578531,1.0017552759802537,1.0
2005-10-26,0.9987128642005435,1.0,0.9987128642005435,1.000100545316494,1.0
2005-10-27,0.9919287110419702,1.0,0.9919287110419702,0.9968129533277531,1.0
2005-10-28,1.0043638602093876,1.0,1.0043638602093876,1.0072037057160783,1.0
2005-10-31,1.0056434407811479,1.0,1.0056434407811479,1.0061788563960623,1.0
2005-11-01,1.0093394532234437,1.0,1.0093394532234437,1.008107948255618,1.0
2005-11-02,1.021553672600004,1.0,1.021553672600004,1.0198317313417051,1.0
2005-11-03,1.0218498111628678,1.0,1.0218498111628678,1.0201295424298287,1.0
2005-11-04,1.0161306505715908,1.0,1.0161306505715908,1.0140686504296696,1.0
2005-11-07,1.0194893860656389,1.0,1.0194893860656389,1.0176943776955991,1.0
2005-11-08,1.0172564358610656,1.0,1.0172564358610656,1.0164774900720277,1.0
2005-11-09,1.0248252176089303,1.0,1.0248252176089303,1.0226081732898786,1.0
2005-11-10,1.0264631214021884,1.0,1.0264631214021884,1.0244639290415505,1.0
2005-11-11,1.0310120001322591,1.0,1.0310120001322591,1.0292476174191674,1.0
2005-11-14,1.0276622208668986,1.0,1.0276622208668986,1.0259025671775293,1.0
2005-11-15,1.0240896705030522,1.0,1.0240896705030522,1.022554616629629,1.0
2005-11-16,1.032482995175324,1.0,1.032482995175324,1.0298951373799632,1.0
2005-11-17,1.0468921670701217,1.0159304510901883,1.0479115410507687,1.0439351211519807,1.0
2005-11-18,1.0503479119353742,1.0208499350503402,1.0521782696252588,1.0476265483181342,1.0
2005-11-21,1.0547888922018187,1.0218569583891337,1.054921592907928,1.0517645766150965,1.0
2005-11-22,1.0582526295485573,1.023287753763918,1.0573922255605879,1.055145314679112,1.0
2005-11-23,1.0618501880751916,1.0311464133245882,1.0632498301199274,1.056853043391209,1.0
2005-11-25,1.061191566502965,1.025847898535939,1.0601883466494197,1.0567344051666923,1.0
2005-11-28,1.0599724496281968,1.0239246829316526,1.0585855666698247,1.055485771230884,1.0
2005-11-29,1.057491024046993,1.0185954011182623,1.0545916355551819,1.0537713495220278,1.0
2005-11-30,1.050928172925425,1.0158579452834016,1.0499021093653114,1.0465276154379608,1.0
2005-12-01,1.071138506501075,1.038676838790124,1.0717892184325108,1.0651487226514722,1.0
2005-12-02,1.0729721218805237,1.0400241357346687,1.073401707050673,1.0672343102770536,1.0
2005-12-05,1.0782166922179732,1.046544228278302,1.0793897132793813,1.0714164585459025,1.0
2005-12-06,1.082101955581735,1.0529549796630713,1.0846404338752202,1.0741276740360814,1.0
2005-12-07,1.0784696917201357,1.0524208288892853,1.0825449293195202,1.0706193731349016,1.0
2005-12-08,1.0802220128719762,1.0544303529814207,1.0844579226423614,1.073982744467134,1.0
2005-12-09,1.0865067550406078,1.0648906637355198,1.0929917132808344,1.0762761835866042,1.0
2005-12-12,1.0925783037492218,1.0695729685377788,1.0984485393549879,1.0819696494409963,1.0
2005-12-13,1.0950341191100517,1.0673345010614943,1.0985335943573888,1.0850491867426233,1.0
2005-12-14,1.0894082268535954,1.063522382531292,1.0937498837102324,1.0837161997515652,1.0
2005-12-15,1.085177650296172,1.0564281677120908,1.0879782417756052,1.0805879957917033,1.0
2005-12-16,1.0847703094613717,1.058766022036396,1.0889778827345353,1.0804236839185835,1.0
2005-12-19,1.083499154597916,1.0565914062312016,1.0872215058397616,1.0796577729108008,1.0
2005-12-20,1.0805767471007823,1.0612179458056425,1.0881356125552848,1.0783871032686818,1.0
2005-12-21,1.0869236828871276,1.0723873070240961,1.0970576149025528,1.0816170351699008,1.0
2005-12-22,1.0932330414756342,1.075604363414422,1.1018872392895833,1.0863237087597688,1.0
2005-12-23,1.0950265428393715,1.0785428971005453,1.1042962578237365,1.0882574067185546,1.0
2005-12-27,1.0911850407846277,1.0781417876904267,1.1021539035516532,1.0862913433747967,1.0
2005-12-28,1.0966566571732448,1.088446657619301,1.110184401531541,1.0880203214220758,1.0
2005-12-29,1.0959310032497902,1.088508271711472,1.1098485212431843,1.0875710233955715,1.0
2005-12-30,1.0943553232673813,1.0893631735061162,1.1094865073531077,1.0866034607324853,1.0
2006-01-03,1.1203616336441986,1.125993274160823,1.1413228279353007,1.1011323337863974,1.0
2006-01-04,1.1266088210688443,1.1330053085541607,1.148058610924774,1.1057349089500288,1.0
2006-01-05,1.122710523944889,1.1256840689200927,1.1423630965928873,1.1038377491873588,1.0
2006-01-06,1.1377034382460707,1.152283898471657,1.1634877529118266,1.110495932404045,1.0
2006-01-09,1.1446055967818018,1.167374416331681,1.1746356684118853,1.114242037302225,1.0
2006-01-10,1.1373163999895715,1.1545892130527973,1.164463085073079,1.1099547029340464,1.0
2006-01-11,1.1444758707256064,1.1663840203282283,1.1740761027363045,1.1132737241156312,1.0
2006-01-12,1.138694721947496,1.1572080738419885,1.1664925377131774,1.1114276507101517,1.0
2006-01-13,1.1444650408292298,1.1685576966685265,1.1751684709919294,1.1152964870616373,1.0
2006-01-17,1.1363424619331863,1.1564535529760984,1.1649119165795363,1.1114490941613917,1.0
2006-01-18,1.1276203760094867,1.1436902399893634,1.1540128977969837,1.1075686450380295,1.0
2006-01-19,1.144354289573664,1.1782621853130006,1.1800176788722974,1.1142717222080758,1.0
2006-01-20,1.128401016140586,1.1565934804930222,1.1609419586268985,1.106137149428227,1.0
