Date,Gross_Equity,Net_Equity
2007-04-11,1.0,1.0
2007-04-12,1.0,1.0
2007-04-13,1.0,1.0
2007-04-16,1.0,1.0
2007-04-17,1.0,1.0
2007-04-18,1.0,1.0
2007-04-19,1.0,1.0
2007-04-20,1.0,1.0
2007-04-23,1.0,1.0
2007-04-24,1.0,1.0
2007-04-25,1.0,1.0
2007-04-26,1.0,1.0
2007-04-27,1.0,1.0
2007-04-30,1.0,1.0
2007-05-01,1.0,1.0
2007-05-02,1.0,1.0
2007-05-03,1.0,1.0
2007-05-04,1.0,1.0
2007-05-07,1.0,1.0
2007-05-08,1.0,1.0
2007-05-09,1.0,1.0
2007-05-10,1.0,1.0
2007-05-11,1.0,1.0
2007-05-14,1.0,1.0
2007-05-15,1.0,1.0
2007-05-16,1.0,1.0
2007-05-17,1.0,1.0
2007-05-18,1.0,1.0
2007-05-21,1.0,1.0
2007-05-22,1.0,1.0
2007-05-23,1.0,1.0
2007-05-24,1.0,1.0
2007-05-25,1.0,1.0
2007-05-29,1.0,1.0
2007-05-30,1.0,1.0
2007-05-31,1.0,1.0
2007-06-01,1.0,1.0
2007-06-04,1.0,1.0
2007-06-05,1.0,1.0
2007-06-06,1.0,1.0
2007-06-07,1.0,1.0
2007-06-08,1.0,1.0
2007-06-11,1.0,1.0
2007-06-12,1.0,1.0
2007-06-13,1.0,1.0
2007-06-14,1.0,1.0
2007-06-15,1.0,1.0
2007-06-18,1.0,1.0
2007-06-19,1.0,1.0
2007-06-20,1.0,1.0
2007-06-21,6.161171692615521,5.999009839238794
2007-06-22,-1.8308941588981031,-2.1404358721559396
2007-06-25,-1.6904402004824106,-1.8818539562243692
2007-06-26,-0.03873282165557244,-0.03996334501330089
2007-06-27,-0.15337148816245477,-0.15481375060819713
2007-06-28,-0.22772832788029063,-0.22239760641161185
2007-06-29,-0.3859170756592195,-0.3766601978376153
2007-07-02,-1.5710414919598383,-1.5065341335533642
2007-07-03,-3.047316513318846,-2.916228755743485
2007-07-05,-3.931666598194073,-3.760816333025511
2007-07-06,-12.076755555217511,-11.547671460632108
2007-07-09,-16.40568062012531,-15.66695271985996
2007-07-10,3.2060530695156277,4.337792701111267
2007-07-11,7.8385383081592535,10.268931260854298
2007-07-12,39.034306249320096,50.64299833694768
2007-07-13,100.50857263364756,130.07144257654937
2007-07-16,36.70953589064676,47.12004970995704
2007-07-17,17.44564771745263,22.09363375121812
2007-07-18,89.5417746784089,106.97284934542436
2007-07-19,357.84438635630437,426.6667528807731
2007-07-20,479.93742209078874,567.8792268574327
2007-07-23,1192.6360530169413,1369.4504863140344
2007-07-24,-5191.6420339611905,-6100.853680842857
2007-07-25,-15175.600748255976,-17676.100300517137
2007-07-26,78460.37032437291,95251.02674990291
2007-07-27,240259.36635361158,284220.006485975
2007-07-30,684977.006225058,778268.4816579844
2007-07-31,2871800.9149616077,3250755.5404243087
2007-08-01,-4946058.920724841,-5901523.473085379
2007-08-02,-8312679.228382433,-9301670.83370654
2007-08-03,-69456548.4455927,-74027866.0989856
2007-08-06,390221913.5622212,436829717.54966587
2007-08-07,1019806547.9799567,1023651648.7633927
2007-08-08,1176251945.5031247,1067690881.7089639
2007-08-09,1049863112.1709888,587445841.9242297
2007-08-10,1211154954.5800385,437370117.1748429
2007-08-13,5542796866.292778,1831935907.0143852
2007-08-14,48513663196.31729,15984301481.460503
2007-08-15,116857224241.31035,38148501110.0972
2007-08-16,258054988498.64587,65844461786.75684
2007-08-17,359239858626.28076,83149092933.2615
2007-08-20,1752295917711.1865,369326822625.5202
2007-08-21,12971804741297.768,2723148475000.64
2007-08-22,8487574778104.108,1390725214575.2788
2007-08-23,24483457081342.254,3634806891025.803
2007-08-24,64477934161309.87,8151854990785.652
2007-08-27,277264069352709.34,34765176520939.074
2007-08-28,2213094452789626.8,271022715143083.34
2007-08-29,2531322585315000.5,211695494386075.06
2007-08-30,1.5438036057263286e+16,1287314979318003.5
2007-08-31,1.068787936699786e+17,8624998129598365.0
2007-09-04,6.215826672431156e+17,4.947346735227143e+16
2007-09-05,3.1304324820080466e+18,2.408230882991547e+17
2007-09-06,9.027141300535647e+18,6.318963858484091e+17
2007-09-07,8.052589200864476e+19,5.514142899730237e+18
2007-09-10,6.03971444390105e+20,4.108906930331054e+19
2007-09-11,1.995846147528386e+21,1.292809970736905e+20
2007-09-12,8.513461767109204e+20,5.305210745025259e+19
2007-09-13,-8.779769236072145e+20,-6.17458285251319e+19
