Date,Equity
2004-11-18,1.0
2004-11-19,1.0
2004-11-22,1.0
2004-11-23,1.0
2004-11-24,1.0
2004-11-26,1.0
2004-11-29,1.0
2004-11-30,1.0
2004-12-01,1.0
2004-12-02,1.0
2004-12-03,1.0
2004-12-06,1.0
2004-12-07,1.0
2004-12-08,1.0
2004-12-09,1.0
2004-12-10,1.0
2004-12-13,1.0
2004-12-14,1.0
2004-12-15,1.0
2004-12-16,1.0
2004-12-17,1.0
2004-12-20,1.0
2004-12-21,1.0
2004-12-22,1.0
2004-12-23,1.0
2004-12-27,1.0
2004-12-28,1.0
2004-12-29,1.0
2004-12-30,1.0
2004-12-31,1.0
2005-01-03,1.0
2005-01-04,1.0
2005-01-05,1.0
2005-01-06,1.0
2005-01-07,1.0
2005-01-10,1.0
2005-01-11,1.0
2005-01-12,1.0
2005-01-13,1.0
2005-01-14,1.0
2005-01-18,1.0
2005-01-19,1.0
2005-01-20,1.0
2005-01-21,1.0
2005-01-24,1.0
2005-01-25,1.0
2005-01-26,1.0
2005-01-27,1.0
2005-01-28,1.0
2005-01-31,1.0
2005-02-01,1.0
2005-02-02,1.0
2005-02-03,1.0
2005-02-04,1.0
2005-02-07,1.0
2005-02-08,1.0
2005-02-09,1.0
2005-02-10,1.0
2005-02-11,1.0
2005-02-14,1.0
2005-02-15,1.0
2005-02-16,1.0
2005-02-17,1.0
2005-02-18,1.0
2005-02-22,1.0
2005-02-23,1.0
2005-02-24,1.0
2005-02-25,1.0
2005-02-28,1.0
2005-03-01,1.0
2005-03-02,1.0
2005-03-03,1.0
2005-03-04,1.0
2005-03-07,1.0
2005-03-08,1.0
2005-03-09,1.0
2005-03-10,1.0
2005-03-11,1.0
2005-03-14,1.0
2005-03-15,1.0
2005-03-16,1.0
2005-03-17,1.0
2005-03-18,1.0
2005-03-21,1.0
2005-03-22,1.0
2005-03-23,1.0
2005-03-24,1.0
2005-03-28,1.0
2005-03-29,1.0
2005-03-30,1.0
2005-03-31,1.0
2005-04-01,1.0
2005-04-04,1.0
2005-04-05,1.0
2005-04-06,1.0
2005-04-07,1.0
2005-04-08,1.0
2005-04-11,1.0
2005-04-12,1.0
2005-04-13,1.0
2005-04-14,1.0
2005-04-15,1.0
2005-04-18,1.0
2005-04-19,1.0
2005-04-20,1.0
2005-04-21,1.0
2005-04-22,1.0
2005-04-25,1.0
2005-04-26,1.0
2005-04-27,1.0
2005-04-28,1.0
2005-04-29,1.0
2005-05-02,1.0
2005-05-03,1.0
2005-05-04,1.0
2005-05-05,1.0
2005-05-06,1.0
2005-05-09,1.0
2005-05-10,1.0
2005-05-11,1.0
2005-05-12,1.0
2005-05-13,1.0
2005-05-16,1.0
2005-05-17,1.0
2005-05-18,1.0
2005-05-19,1.0
2005-05-20,1.0
2005-05-23,1.0
2005-05-24,1.0
2005-05-25,1.0
2005-05-26,1.0
2005-05-27,1.0
2005-05-31,1.0
2005-06-01,1.0
2005-06-02,1.0
2005-06-03,1.0
2005-06-06,1.0
2005-06-07,1.0
2005-06-08,1.0
2005-06-09,1.0
2005-06-10,1.0
2005-06-13,1.0
2005-06-14,1.0
2005-06-15,1.0
2005-06-16,1.0
2005-06-17,1.0
2005-06-20,1.0
2005-06-21,1.0
2005-06-22,1.0
2005-06-23,1.0
2005-06-24,1.0
2005-06-27,1.0
2005-06-28,1.0
2005-06-29,1.0
2005-06-30,1.0
2005-07-01,1.0
2005-07-05,1.0
2005-07-06,1.0
2005-07-07,1.0
2005-07-08,1.0
2005-07-11,1.0
2005-07-12,1.0
2005-07-13,1.0
2005-07-14,1.0
2005-07-15,1.0
2005-07-18,1.0
2005-07-19,1.0
2005-07-20,1.0
2005-07-21,1.0
2005-07-22,1.0
2005-07-25,1.0
2005-07-26,1.0
2005-07-27,1.0
2005-07-28,1.0
2005-07-29,1.0
2005-08-01,1.0
2005-08-02,1.0
2005-08-03,1.0
2005-08-04,1.0
2005-08-05,1.0
2005-08-08,1.0
2005-08-09,1.0
2005-08-10,1.0
2005-08-11,1.0
2005-08-12,1.0
2005-08-15,1.0
2005-08-16,1.0
2005-08-17,1.0
2005-08-18,1.0
2005-08-19,1.0
2005-08-22,1.0
2005-08-23,1.0
2005-08-24,1.0
2005-08-25,1.0
2005-08-26,1.0
2005-08-29,1.0
2005-08-30,1.0
2005-08-31,1.0
2005-09-01,1.0
2005-09-02,1.0
2005-09-06,1.0032594260436338
2005-09-07,1.0025323024981745
2005-09-08,1.0016476930474836
2005-09-09,1.0059676010367549
2005-09-12,1.0039145951594928
2005-09-13,1.0019855089072782
2005-09-14,1.0022977573009761
2005-09-15,1.0026667928287272
2005-09-16,1.0058128968486277
2005-09-19,1.0061482593867708
2005-09-20,1.0036067808870246
2005-09-21,1.0058822811631627
2005-09-22,1.0046967447645405
2005-09-23,1.0030514110626552
2005-09-26,1.0044524228293727
2005-09-27,1.0025204947519752
2005-09-28,1.007335071136692
2005-09-29,1.0101982882559337
2005-09-30,1.008393253873204
2005-10-03,1.0045642787524753
2005-10-04,1.0023033050537096
2005-10-05,0.9991824803158736
2005-10-06,1.0011171479541925
2005-10-07,1.0021576584921925
2005-10-10,1.0021830832731995
2005-10-11,1.000529347753942
2005-10-12,0.9971022738780481
2005-10-13,0.9956739902882661
2005-10-14,0.9980776939834365
2005-10-17,0.9990913714772682
2005-10-18,0.9959983710136984
2005-10-19,0.9990367838203378
2005-10-20,0.9941665705348034
2005-10-21,0.9983627019019602
2005-10-24,1.0013360293313283
2005-10-25,1.0055891943180422
2005-10-26,1.0030554594762462
2005-10-27,1.0047661789871034
2005-10-28,1.013072620417924
2005-10-31,1.008989900060468
2005-11-01,1.0083085158442313
2005-11-02,1.019387795743822
2005-11-03,1.0196579246290947
2005-11-04,1.0130345946123764
2005-11-07,1.017112412247967
2005-11-08,1.0172685010559877
2005-11-09,1.022009160110704
2005-11-10,1.0240037308788532
2005-11-11,1.0292141960117887
2005-11-14,1.0257798595874228
2005-11-15,1.0228728042506212
2005-11-16,1.0306147578211
2005-11-17,1.0445518486873966
2005-11-18,1.048364628547074
2005-11-21,1.0527624096469597
2005-11-22,1.0564229564936307
2005-11-23,1.0572575061151743
2005-11-25,1.0572429274301376
2005-11-28,1.0564367244629933
2005-11-29,1.0553387415788569
2005-11-30,1.0460929894445552
2005-12-01,1.06328953145276
2005-12-02,1.0660397884834034
2005-12-05,1.069541236142089
2005-12-06,1.0716605283849727
2005-12-07,1.0694520340493936
2005-12-08,1.073917657432928
2005-12-09,1.0752027608942298
2005-12-12,1.081072671353416
2005-12-13,1.0830488878282551
2005-12-14,1.0819611533699094
2005-12-15,1.0790113486385509
2005-12-16,1.0792158483972043
2005-12-19,1.0787664184589258
2005-12-20,1.0760857731230757
2005-12-21,1.0779897307312616
2005-12-22,1.083163949282468
2005-12-23,1.084711361187426
2005-12-27,1.084112188615573
2005-12-28,1.0856373623466358
2005-12-29,1.085279107195557
2005-12-30,1.084474483117525
2006-01-03,1.097420529833098
2006-01-04,1.1015218647023362
2006-01-05,1.0986504253982812
2006-01-06,1.1040817727538839
2006-01-09,1.1072624870732548
2006-01-10,1.1036812354555576
2006-01-11,1.1061611506411906
2006-01-12,1.1055632104753672
2006-01-13,1.1098637635609219
2006-01-17,1.1072777935592466
2006-01-18,1.1026492818415998
2006-01-19,1.107439564087834
2006-01-20,1.1004324630038624
2006-01-23,1.1044266855166638
2006-01-24,1.1042704304576183
2006-01-25,1.1041397159733055
2006-01-26,1.1046834739357545
2006-01-27,1.1079716947220306
2006-01-30,1.1099650588980212
2006-01-31,1.1085647285376425
2006-02-01,1.1088984629459218
2006-02-02,1.1055311633933413
2006-02-03,1.1049119509330396
2006-02-06,1.1055701449311195
2006-02-07,1.0981274578651359
2006-02-08,1.1006839127583952
2006-02-09,1.1033810201456287
2006-02-10,1.099727221729485
2006-02-13,1.097036380018594
2006-02-14,1.1010594362730757
2006-02-15,1.1000186092542756
2006-02-16,1.1035689581157424
2006-02-17,1.1060247599316224
2006-02-21,1.1033587201341584
2006-02-22,1.1087424402193884
2006-02-23,1.1072311410805125
2006-02-24,1.1105118637072313
2006-02-27,1.1090787837783551
2006-02-28,1.108352620989251
2006-03-01,1.1119050817746226
2006-03-02,1.1110377605063315
2006-03-03,1.107331518812508
2006-03-06,1.0994177221872723
2006-03-07,1.0930365425022428
2006-03-08,1.091490620760199
2006-03-09,1.0886966842037373
2006-03-10,1.0974488323331297
2006-03-13,1.1034028370778428
2006-03-14,1.110302763029137
2006-03-15,1.1104336405729527
2006-03-16,1.1145007423540176
2006-03-17,1.1136377927389574
2006-03-20,1.11343663232182
2006-03-21,1.1049678440169495
2006-03-22,1.1087497092809437
2006-03-23,1.1058199746745292
2006-03-24,1.1101445064901998
2006-03-27,1.1112876716632936
2006-03-28,1.106309108575539
2006-03-29,1.1184603882747917
2006-03-30,1.128171336555541
2006-03-31,1.1237429864311859
2006-04-03,1.1288289127429503
2006-04-04,1.1346289826622162
2006-04-05,1.1390048462021471
2006-04-06,1.1412474830521666
2006-04-07,1.1288204967993287
2006-04-10,1.1343389766740692
2006-04-11,1.1250743619561225
2006-04-12,1.1258408685835082
2006-04-13,1.1264433335402255
2006-04-17,1.1342954522745516
2006-04-18,1.1532897801897601
2006-04-19,1.1642678041577652
2006-04-20,1.1531195872213664
2006-04-21,1.1637111393378066
2006-04-24,1.1580865565384766
2006-04-25,1.1592558676570384
2006-04-26,1.1646854275768006
2006-04-27,1.1659275163039264
2006-04-28,1.1745199259006278
2006-05-01,1.169937502683642
2006-05-02,1.1845714106217806
2006-05-03,1.1796872031139223
2006-05-04,1.1878827956920568
2006-05-05,1.2007879056912893
2006-05-08,1.1984502929278278
2006-05-09,1.2084196800288802
2006-05-10,1.2088936026530364
2006-05-11,1.1995464392898754
2006-05-12,1.1869410086580263
2006-05-15,1.1733379395962635
2006-05-16,1.1753525588560918
2006-05-17,1.1501292538203904
2006-05-18,1.14404771971952
2006-05-19,1.1442429473815252
2006-05-22,1.1306886575551787
2006-05-23,1.1299235515369852
2006-05-24,1.1269797820441285
2006-05-25,1.1408614155197159
2006-05-26,1.148028769720549
2006-05-30,1.1322826230956116
2006-05-31,1.1383436024463252
2006-06-01,1.140446491944326
2006-06-02,1.1489535388424124
2006-06-05,1.1318199493281313
2006-06-06,1.1299956052860851
